file_id,url,reason,file_size_kb
566,https://www.bbc.com/news/topics/ck3nykx1r57t,Category: News Category,180
567,https://www.edsurge.com/news/topics/tutoring,Category: News Category,103
574,https://about.netflix.com/news/netflix-to-acquire-warner-bros,Category: News Category,114
575,https://www.adweek.com/category/streaming-ott/,Category: News Category,224
587,https://www.onelifefitness.com/news/demystifying-gym-equipment-comprehensive-guide-for-beginners,Category: News Category,71
613,https://www.johnsonfinancialgroup.com/resources/blogs/buying-or-building-a-home/should-you-move-or-should-you-improve/,Category: Shopping/Store,211
623,https://www.musicinst.org/news/how-start-music-lessons-complete-guide,Category: News Category,125
636,https://www.bisnow.com/national/news/commercial-real-estate/netflix-disney-streaming-wars-real-estate-101273,Category: News Category,161
643,https://www.northcentralcollege.edu/news/2022/02/18/computer-engineering-vs-electrical-engineering,Category: News Category,68
652,https://www.sap.com/products/artificial-intelligence/what-is-machine-learning.html,Category: Shopping/Store,145
653,https://www.travelzoo.com/collections/vacations/,Category: Shopping/Store,203
656,https://www.allaroundmusic.us/testimonials,Large file (1326KB),1326
658,https://www.sagemusic.co/reviews/,Large file (1335KB),1335
661,https://www.urmc.rochester.edu/news/story/nutrition-on-a-budget-cheap-and-easy-ways-for-students-to-eat-well,Category: News Category,43
666,https://www.olesentuition.co.uk/single-post/which-app-should-i-use-to-learn-a-language-duolingo-memrise-babbel-quizlet-busuu,Large file (2898KB),2898
676,https://globaledge.msu.edu/blog/post/57427/shopping-on-social-media--platforms-are-transforming-the-way-we-buy-,Category: Shopping/Store,64
679,https://www.thetaxadviser.com/news/,Category: News Category,248
681,https://www.journalofaccountancy.com/topics/tax/,Category: News Category,251
701,https://www.dudamelfoundation.org/news/10-tips-for-teaching-music-through-distance-learning,Category: News Category,297
708,https://penntoday.upenn.edu/news/penn-gse-how-children-learn-foreign-language,Category: News Category,172
721,https://www.imdb.com/whats-on-tv/,Large file (1006KB),1006
724,https://www.justwatch.com/us,Large file (1532KB),1532
727,https://thenewstack.io/software-development/,Large file (1169KB),1169
732,https://saicom.io/news/the-pillars-of-cybersecurity-a-home-construction-analogy/,Category: News Category,678
741,https://www.profor.com/post/video-production-new-technologies,Large file (1554KB),1554
742,https://www.storyblocks.com/resources/news/video-production-trends,Category: News Category,186
744,https://vidico.com/news/types-of-video-production/,Category: News Category,626
757,https://www.roadwaymoving.com/locations/new-york/,Category: Directory/Listings,216
766,https://www.academy.com/c/fitness,Large file (1169KB),1169
771,https://www.successionresource.com/marketplace/,Category: Directory/Listings,319
776,https://advisorlegacy.com/blog/find-a-financial-advisor-practice-for-sale,Category: Directory/Listings,210
783,https://www.hellobonsai.com/blog/sales-project-management-guide,Category: Shopping/Store,152
795,https://www.buddhistdoor.net/news/united-nations-highlights-meditations-role-in-global-health-peace-and-well-being-ahead-of-world-meditation-day/,Category: News Category,305
799,https://www.musicradar.com/news/the-best-studio-headphones-top-headphones-for-music-production,Large file (1209KB),1209
802,https://www.audiophileon.com/news/best-headphones-under-50,Category: News Category,250
818,https://accounting.drakesoftware.com/purchase/buy-drake-accounting/,Category: Shopping/Store,23
834,https://www.morningstar.com/news/accesswire/1113686msn/softwash-nation-south-floridas-original-soft-wash-experts-sets-new-standard-for-roof-exterior-cleaning,Category: News Category,410
835,https://www.barchart.com/story/news/36724292/house-cleaning-raleigh-pros-outlines-structured-deep-cleaning-services-for-residential-spaces,Category: News Category,575
848,https://www.omscentral.com/courses/machine-learning/reviews,Large file (2895KB),2895
852,https://pll.harvard.edu/catalog/free,Category: Shopping/Store,178
856,https://www.foxnews.com/category/health/nutrition-and-fitness/weight-loss,Category: News Category,258
858,https://www.bestcolleges.com/news/rise-and-fall-of-coding-bootcamps/,Category: News Category,265
862,https://www.freecodecamp.org/news/tag/coding-bootcamps/,Category: News Category,52
871,https://qualysec.com/top-cybersecurity-companies/,Large file (1950KB),1950
873,https://www.webfx.com/locations/atlanta-ga/web-design/,Large file (1346KB),1346
894,https://insideofknoxville.com/tag/new-restaurants/,Category: News Category,192
896,https://www.pnj.com/story/news/local/2025/05/26/new-restaurants-liquor-store-beulah-commercial-center-development-escambia-county/83788767007/,Category: News Category,141
919,https://www.self.com/story/healthy-beauty-awards-oral-care-2024,Large file (1026KB),1026
920,https://www.bartonoaksdentalgroup.com/patient-education/top-7-dental-products-dentists-reccomend/,Large file (1002KB),1002
934,https://us.dental-tribune.com/news/,Category: News Category,483
936,https://www.mydental.org/news/,Category: News Category,230
939,https://managementconsulted.com/category/consulting-news/,Category: News Category,234
940,https://www.theconsultingreport.com/category/latest-news/,Category: News Category,206
943,https://www.travelpulse.com/news/vacation-packages,Category: News Category,103
944,https://www.aaa.com/tripcanvas/article/best-us-vacation-packages-CM945,Large file (1174KB),1174
948,https://www.techradar.com/phones/news,Large file (1445KB),1445
953,https://www.wix.com/blog/web-design-trends,Large file (1554KB),1554
960,https://www.corepoweryoga.com/content/buy,Category: Shopping/Store,128
973,https://www.cnn.com/2025/12/19/tech/flock-safety-ai-cameras-brown-suspect-privacy,Large file (5750KB),5750
974,https://spectrum.ieee.org/tag/cameras,Category: News Category,284
988,https://www.mindsharepartners.org/2025-mental-health-at-work-report,Large file (1025KB),1025
1009,https://www.redalphacyber.com/post/meet-the-alphas-exploring-a-career-in-cybersecurity-as-a-graphic-designer,Large file (1271KB),1271
1011,https://ischool.syracuse.edu/data-analytics-tools/,Large file (1056KB),1056
1014,https://www.pwc.com/it/it/services/deals/deal-analytics.html,Category: Shopping/Store,154
1017,https://www.lseg.com/en/data-analytics/financial-data/deals-data,Category: Shopping/Store,165
1021,https://planful.com/financial-planning/,Large file (1245KB),1245
1026,https://www.workday.com/en-sg/topics/finance/what-is-financial-planning.html,Category: News Category,230
1041,https://www.businessofapps.com/marketplace/social-media-marketing/,Category: Directory/Listings,406
1048,https://www.wsbtv.com/news/local/atlanta/self-booking-flight-charters-travel-comes-wheels-up-through-delta-partnership/TFIEVWA6URBI3MLJCCHMQTROHY/,Category: News Category,89
1050,https://www.allure.com/story/best-of-beauty-skin-care-product-winners-2025,Large file (2091KB),2091
1051,https://www.openpr.com/news/4320106/coding-bootcamp-market-trends-investment-opportunities,Category: News Category,82
1067,https://officersclub.mcclellanpark.com/news/event-catering-tips,Category: News Category,97
1070,https://www.vogue.com/fashion,Large file (1582KB),1582
1071,https://www.businessoffashion.com/news/,Category: News Category,157
1072,https://fashionunited.com/news/fashion,Category: News Category,114
1080,https://cio.economictimes.indiatimes.com/news/cloud-computing,Category: News Category,335
1084,https://findyourtrainer.com/personal-trainers/florida/tampa,Large file (5413KB),5413
1094,https://www.cerave.com/find-my-skincare-solution,Category: Directory/Listings,233
1102,https://www.ftc.gov/business-guidance/small-businesses/cybersecurity/basics,Large file (977KB),977
1109,https://www.goaheadtours.com/tours,Large file (1105KB),1105
1110,https://www.exoticca.com/us,Large file (1525KB),1525
1120,https://www.leewayhertz.com/top-machine-learning-consulting-companies/,Large file (1145KB),1145
1124,https://languagemagazine.com/category/language-news/,Category: News Category,464
1125,https://theconversation.com/topics/language-learning-12525,Category: News Category,181
1127,https://poetsandquantsforexecs.com/news/report-business-education-is-transforming-not-declining-as-mba-enrollment-slips-specialized-programs-surge/,Category: News Category,213
1129,https://mbagradschools.com/category/mba-rankings,Category: News Category,133
1132,https://www.maidpro.com/vista,Large file (1001KB),1001
1150,https://gardenculturemagazine.com/category/in-the-press/,Category: News Category,230
1158,https://artificialanalysis.ai/models,Large file (8583KB),8583
1188,https://www.nationalacademies.org/news/mental-and-behavioral-health-disorders-are-increasing-in-u-s-effective-preventive-interventions-should-be-expanded-report-says,Category: News Category,271
1192,https://training.certstaff.com/catalog/294/AI/478/Richmond-Virginia,Category: Shopping/Store,130
1231,https://interiordesign.net/awards/best-of-year/,Large file (1105KB),1105
1234,https://www.eater.com/maps/where-to-eat-los-angeles-san-francisco-oakland,Large file (2611KB),2611
1248,https://auto.economictimes.indiatimes.com/tag/car+rental,Category: News Category,257
1253,https://www.blockchain-council.org/blockchain/top-blockchain-startups/,Large file (1026KB),1026
1277,https://www.insidehighered.com/news/student-success/academic-life/2024/02/27/best-practices-online-course-design-college-students,Category: News Category,147
1289,https://accountingstuff.com/shop,Category: Shopping/Store,136
1298,https://www.wallartprints.com/collections/fine-art-photography,Category: Shopping/Store,457
1299,https://store.nytimes.com/collections/photography,Category: Shopping/Store,243
1303,https://www.homepagenews.com/category/home-housewares/appliances/,Category: News Category,440
1306,https://yoursourcenews.com/category/appliance/,Category: News Category,187
1308,https://www.tomsguide.com/feature/5-most-anticipated-headphones-of-2026-airpods-max-2-samsung-galaxy-buds-4-more,Large file (1785KB),1785
1321,https://www.movado.com/us/en/shop-watches/shop-all-watches,Large file (1074KB),1074
1323,https://www.chronext.com/buy,Large file (3306KB),3306
1334,https://furnitureplaceusa.com/blogs/news/furniture-buying-guide-what-to-look-for-in-quality-and-style,Category: News Category,388
1336,https://atriumhealth.org/locations/detail/atrium-health-dental-clinic,Category: Directory/Listings,59
1352,https://www.whowhatwear.com/fashion/trends,Large file (1117KB),1117
1353,https://www.abercrombie.com/shop/us/womens-new-arrivals,Large file (1032KB),1032
1363,https://web20ranker.com/affordable-seo-services/,Large file (1382KB),1382
1368,https://theblacktux.com/collections/shoes-for-rent,Category: Shopping/Store,720
1369,https://www.hurrcollective.com/collections/shoes,Category: Shopping/Store,287
1370,https://woodbridgecostumes.com/collections/shoe-rentals,Category: Shopping/Store,191
1372,https://www.onrotate.com/collections/shoes/heels/,Category: Shopping/Store,320
1378,https://www.groundedmeditationstudio.com/prices,Large file (998KB),998
1390,https://www.learntoplaymusic.com/store/,Category: Shopping/Store,77
1404,https://youtu.be/guJxs2iFQ1c,Large file (1280KB),1280
1412,https://www.bookbrowse.com/news/,Category: News Category,43
1417,https://vimeo.com/features/livestreaming,Large file (1735KB),1735
1422,https://find-mba.com/schools/usa/texas,Category: Directory/Listings,187
1438,https://www.apa.org/topics/mental-health,Category: News Category,123
1439,https://www.paho.org/en/topics/mental-health,Category: News Category,158
1447,https://www.whathifi.com/best-buys/best-wireless-headphones,Large file (1957KB),1957
1449,https://www.cbh.com/locations/cpa-accounting-firm-in-lexington-ky/,Category: Directory/Listings,305
1450,https://www.blueandco.com/about-us/locations/lexington-ky/,Category: Directory/Listings,139
1452,https://www.cleanlink.com/news/,Category: News Category,164
1454,https://maintenancesalesnews.com/category/news-headlines/,Category: News Category,124
1456,https://cleaningcoalition.org/latest-news/,Category: News Category,97
1479,https://www.gocollette.com/en-us,Large file (1040KB),1040
1486,https://www.trueweightlossclinic.com/specials,Large file (1092KB),1092
1510,https://www.builtinseattle.com/companies/type/machine-learning-industry-companies,Category: Directory/Listings,390
1517,https://www.analytics8.com/services/,Hub/directory page,333
1519,https://www.builtinnyc.com/companies/type/analytics-industry-companies,Category: Directory/Listings,394
1542,https://klettwl.com/store/,Category: Shopping/Store,315
1563,https://www.livescience.com/health/supplements-vitamins,Large file (1034KB),1034
1572,https://www.redfin.com/city/17527/NV/Sparks,Large file (1638KB),1638
1584,https://www.cambridge.org/core/books/understanding-machine-learning/3059695661405D25673058E43C8BE2A6,Large file (1671KB),1671
1585,https://startups.epam.com/blog/software-development-models-comparison,Large file (1076KB),1076
1598,http://g.co/shopping/mike,Large file (2316KB),2316
1603,https://www.whitelodging.com/news-events,Large file (3306KB),3306
1615,https://www.gamespot.com/news/,Category: News Category,203
1617,https://www.pcgamer.com/news/,Large file (1181KB),1181
1632,https://www.budgettruck.com/deals,Category: Shopping/Store,201
1633,https://brooklinebooksmith.com/collections/our-top-100-books,Category: Shopping/Store,332
1638,https://www.frontiersin.org/journals/nutrition,Large file (1286KB),1286
1651,https://www.keenschoolofmusic.com/post/why-music-lessons-are-the-best-form-of-self-care-for-kids-teens-and-adults,Large file (1252KB),1252
1652,https://silentevents.com/locations/silent-disco-events-headphone-rentals-provider-west-palm-beach-florida/,Category: Directory/Listings,144
1717,https://fivebooks.com/category/new-books/,Category: News Category,403
1738,https://www.compozure.co/interior-designers,Large file (1594KB),1594
1742,https://www.redhat.com/en/topics/cloud-computing,Category: News Category,822
1748,https://www.einsteinmoving.com/locations/texas-movers/fort-worth-movers/,Category: Directory/Listings,314
1758,https://www.healthygamer.gg/about/guide,Large file (1331KB),1331
1759,https://www.thecommunityguide.org/topics/mental-health.html,Category: News Category,26
1781,https://www.allendentalinc.com/post/new-year-new-smile-top-dental-resolutions-for-2025,Large file (1169KB),1169
1785,https://www.sellerscommerce.com/blog/top-ecommerce-analytics-tools/,Large file (1133KB),1133
1794,https://www.breakingtravelnews.com/news/category/car-rental/,Category: News Category,108
1796,https://www.acraorg.com/news/,Category: News Category,148
1821,https://www.runnersworld.com/gear/a19663621/best-running-shoes/,Large file (979KB),979
1822,https://www.dcshoes.com/collections/mens-best-sellers,Category: Shopping/Store,975
1823,https://www.tvguide.com/news/ultimate-guide-what-to-watch-netflix-hulu-prime-video-hbo-max-more-december-2025/,Category: News Category,392
1824,https://www.happi.com/topics/skin-care/,Category: News Category,279
1836,https://www.gentlegiant.com/locations/ca/san-francisco/moving-company.html,Category: Directory/Listings,92
1844,https://techcrunch.com/tag/car-rental/,Category: News Category,229
1860,https://www.sharonsalzberg.com/store/p/meditation-package,Category: Shopping/Store,186
1872,https://www.realhomes.com/news/real-homes-reports-new-research-reveals-that-cleaning-and-gardening-is-better-than-a-gym-workout,Category: News Category,858
1887,https://preply.com/en/online/english-tutors,Large file (1678KB),1678
1903,https://www.dayuse.com/s/united-states/new-york,Large file (2736KB),2736
1920,https://us.businessesforsale.com/us/search/commercial-cleaning-businesses-for-sale-in-north-carolina,Category: Directory/Listings,224
1921,https://floridasdentistry.gov/latest-news/,Category: News Category,202
1925,https://www.intellectsoft.net/services,Hub/directory page,142
1942,https://swgfl.org.uk/topics/gaming/the-language-of-gaming-a-dictionary-of-terms/,Category: News Category,22
1951,https://www.comidor.com/news/industry-news/machine-learning-platforms/,Category: News Category,347
1956,https://www.pulmonologyadvisor.com/news/oral-orforglipron-maintains-weight-loss-after-switch-from-injectable-therapies/,Category: News Category,98
1957,https://www.clinicaltrialsarena.com/news/eli-lilly-orforglipron-phase-iii-obesity-weight-maintenance-trial/,Category: News Category,298
1964,https://zapier.com/blog/free-project-management-software/,Large file (1145KB),1145
1967,https://www.onlineu.com/most-affordable-colleges/project-management-masters-degrees,Large file (1239KB),1239
1987,https://shop.askthebuilder.com/best-plumbing-practices-for-installing-pvc-drain-vent-piping/,Category: Shopping/Store,83
1993,https://www.crescendo.ai/news/latest-ai-news-and-updates,Category: News Category,254
1995,https://www.tutor-ology.com/post/top-10-leading-online-class-providers-in-the-us,Large file (2078KB),2078
1999,https://www.smergers.com/hr-consulting-businesses-for-sale-and-investment/s216b/,Category: Directory/Listings,310
2004,https://amasty.com/blog/best-digital-products-to-sell/,Large file (987KB),987
2008,https://www.architecturaldigest.com/gallery/meet-the-interior-designers-on-the-ad100-2025-list,Large file (2346KB),2346
2014,https://www.skillcatapp.com/plumbing-training-online,Large file (1704KB),1704
2028,https://www.cigna.com/individuals-families/shop-plans/health-insurance-plans/,Category: Shopping/Store,211
2031,https://www.globalbroadcastindustry.news/category/video-production-news/,Category: News Category,253
2033,https://www.videomaker.com/category/news/,Category: News Category,282
2056,https://www.rolex.com/en-us/watches/new-watches,Large file (1626KB),1626
2059,https://find-and-update.company-information.service.gov.uk/company/10640480,Category: Directory/Listings,34
2073,https://www.goarmstrong.com/locations/new-jersey/,Category: Directory/Listings,326
2075,https://www.businessinsider.com/guides/deals/best-streaming-deals-bundles,Category: Shopping/Store,785
2087,https://www.sriboga.com/news/all-about-restaurant-service:-definition-types-and-tips,Category: News Category,39
2101,https://store.legal.thomsonreuters.com/en-us/home,Category: Shopping/Store,243
2124,https://atomicpestcontrol.com/locations/pest-control-queen-creek-az,Category: Directory/Listings,158
2134,https://www.thegreatcoursesplus.com/shop,Category: Shopping/Store,655
2135,https://shop.id.me/categories/online-courses,Category: Shopping/Store,296
2159,https://www.goodwinrecruiting.com/locations/accounting-recruiters-baltimore-md,Category: Directory/Listings,717
2177,https://safetyculture.com/topics/electrical-hazards/10-electrical-safety-rules,Category: News Category,212
2184,https://www.rocknrollrentals.com/category/475/headphones-in-ear-monitors,Category: News Category,84
2188,https://www.ironhack.com/us/blog/cloud-computing-innovations-what-s-next-in-2024,Large file (1230KB),1230
2189,https://www.hollywoodreporter.com/lifestyle/shopping/best-streaming-service-deals-right-now-1236228979/,Category: Shopping/Store,760
2191,https://flippa.com/buy/crypto-and-blockchains,Category: Shopping/Store,880
2193,https://www.biztrader.com/listings/businesses-for-sale/online-technology/blockchain-and-crypto-companies/,Category: Directory/Listings,640
2203,https://www.rocketmortgage.com/learn/home-renovation-costs,Large file (1292KB),1292
2209,https://www.hilton.com/en/locations/hotels-near-me/,Category: Directory/Listings,104
2228,https://www.blackmagicdesign.com/products/davinciresolve/,Category: Shopping/Store,303
2242,https://eventsolutions.com/locations/las-vegas/,Category: Directory/Listings,200
2251,https://trendia.co/blogs/news/best-womens-clothing-brands,Category: News Category,602
2252,https://www.glamour.com/story/2025-fashion-trends,Large file (1685KB),1685
2263,https://ep.jhu.edu/news/advancements-in-ai-and-machine-learning/,Category: News Category,114
2272,https://metamask.io/buy-crypto,Category: Shopping/Store,539
2283,https://www.spireconsultinggroup.com/about-spire-construction-consulting/locations/san-francisco/,Category: Directory/Listings,496
2298,https://www.spinxdigital.com/blog/best-website-design/,Large file (1040KB),1040
2302,https://www.knowledgehut.com/tutorials/project-management/project-management,Large file (1235KB),1235
2311,https://www.4imprint.com/tag/6669/headphones,Category: News Category,189
2312,https://snext-final.com/en/products/,Hub/directory page,83
2323,https://www.jwstarrdmd.com/locations/columbus-office/,Category: Directory/Listings,738
2331,https://www.businessbecause.com/news/mba-rankings/5039/15-best-business-schools-for-return-on-investment,Category: News Category,69
2355,https://www.prokerala.com/news/articles/a1709651.html,Category: News Category,86
2410,https://www.digjitale.com/p/digjitale-signal-18-the-world-without-work,Large file (1255KB),1255
2419,https://www.timminspress.com/category/features,Category: News Category,147
2431,https://www.lockhaven.com/news/garden/2025/12/creating-a-simple-garden-sanctuary-for-year-round-relaxation,Category: News Category,132
2435,https://www.walesonline.co.uk/news/uk-news/lots-robins-blackbirds-your-garden-33061558,Category: News Category,468
2437,https://www.autoblog.com/news/mercedes-benz-is-redesigning-cars-to-be-easier-to-repair,Category: News Category,761
2442,https://meh.com/deals/2-pack-high-road-40-expand-to-fit-car-and-suv-trunk-organizers,Category: Shopping/Store,107
2448,https://www.brainerddispatch.com/news/local/ask-the-master-gardener-think-summer-thoughts-by-planning-for-a-potager-now,Category: News Category,262
2452,https://wegotthiscovered.com/news/mechanic-investigates-transmission-leak-on-nearly-new-chevrolet-then-makes-a-shocking-discovery-after-checking-the-bolts,Large file (1673KB),1673
2456,https://www.newsweek.com/entertainment/movies/the-best-film-of-2025-according-to-rotten-tomatoes-11237228,Large file (1198KB),1198
2470,https://insideevs.com/news/782062/ford-e-transit-no-replacement,Category: News Category,717
2473,https://blog.google/products/search/google-ai-mode-update-gemini-3-flash,Category: Shopping/Store,348
2487,https://allenai.org/blog/bolmo,Large file (1142KB),1142
2488,https://www.indiewire.com/news/festivals/sundance-2026-short-film-lineup-1235167728,Category: News Category,543
2508,https://jina.ai/news/embeddings-are-ais-red-headed-stepchild,Category: News Category,88
2562,https://securedrop.org/news/webcat-towards-auditable-web-application-runtimes,Category: News Category,853
2599,https://www.forensicfocus.com/news/digital-forensics-round-up-december-17-2025,Category: News Category,288
2601,https://www.tomshardware.com/tech-industry/samsung-introduces-socamm2-lpddr5x-memory-module-for-ai-data-centers,Large file (1522KB),1522
2655,https://technews.tw/category/software-and-system/macos,Category: News Category,166
2658,https://www.mmsonline.com/products/cetec-erp-ai-tools-automate-back-office-operations,Category: Shopping/Store,374
2662,https://www.marketscreener.com/news/rockwell-automation-five-reasons-to-unify-power-and-process-control-on-one-platform-ce7d50dddd80f221,Category: News Category,316
2683,https://www.creativebloq.com/ai/ai-art/has-ai-made-art-directors-redundant-or-more-important-than-ever,Large file (1492KB),1492
2687,https://pt.audio/2025/12/19/2025-best-value-award,Large file (1359KB),1359
2692,https://www.constructiondive.com/news/project-decisions-personal-productivity-ai-focus/808297,Category: News Category,252
2698,https://healthcare-digital.com/news/johnson-johnson-transforming-medicine-with-nlp,Category: News Category,155
2729,https://thenextweb.com/news/engineerings-ai-reality-check,Category: News Category,117
2734,https://www.i-programmer.info/news/105-artificial-intelligence/18534-turn-claude-into-your-personal-research-assistant.html,Category: News Category,34
2752,https://www.roboticstomorrow.com/products/model-tr1-tru-trac%7D/3,Category: Shopping/Store,54
2759,https://www.guitarworld.com/gear/effects-pedals/line-6-helix-stadium-xl,Large file (1478KB),1478
