priority,file_id,url,length_ratio,gt_chars,extracted_chars,recall,precision
high,1231,https://interiordesign.net/awards/best-of-year/,17.1,2445,41919,0.991,0.104
high,2532,https://www.sitanchen.com/cs224/f23/index.html,17.1,1128,19339,0.783,0.09
high,2453,https://newsletter.techworld-with-milan.com/p/the-software-essays-that-changed,17.0,1743,29692,0.842,0.083
high,0514,https://epiciceland.net/guided-tours-or-rent-a-car-in-iceland/,16.9,870,14711,0.79,0.101
high,2140,https://fitsmallbusiness.com/best-social-media-agency-small-businesses/,16.9,1154,19541,0.885,0.111
high,0683,https://www.owner.com/blog/seo-for-restaurants,16.7,1417,23717,0.828,0.119
high,0265,https://www.celoxis.com/article/project-management-software-comparison,16.5,1573,25988,0.803,0.105
high,0453,https://888movestuff.com/jackson-nj-movers/,16.5,2560,42129,0.974,0.15
high,1038,https://inbeat.agency/blog/top-social-media-agencies-in-the-us,16.5,3550,58499,0.934,0.17
high,0332,https://careerfoundry.com/en/blog/data-analytics/what-is-data-analytics/,16.4,2139,35060,0.872,0.108
high,1938,https://www.goodfirms.co/big-data-analytics/data-analytics,16.2,1975,31994,0.91,0.106
high,2414,https://addyo.substack.com/p/my-llm-coding-workflow-going-into,16.2,1941,31365,0.871,0.097
high,1415,https://www.alphaapexgroup.com/blog/hr-outsourcing-consultants-firms,16.1,2064,33286,0.885,0.109
high,1069,https://forum.level1techs.com/t/laptop-review-recommendation-resources/223334,16.0,707,11338,0.779,0.087
high,0388,https://www.nops.io/blog/best-cloud-management-platforms-software-tools-solutions/,15.9,1972,31362,0.857,0.115
high,1043,https://nogood.io/blog/top-social-media-agencies/,14.9,1921,28714,0.853,0.124
high,1052,https://www.nucamp.co/blog/homepage-nucamp-2025-top-10-best-rated-coding-bootcamps-in-2025,14.9,1583,23614,0.872,0.132
high,1103,https://www.frommers.com/tips/airfare/the-10-best-and-cheapest-airfare-search-sites-for-2026/,14.9,1950,29115,0.937,0.13
high,2750,https://www.decodingai.com/p/ai-workflows-vs-agents-the-autonomy,14.9,1326,19750,0.868,0.104
high,0355,https://www.conductor.com/academy/seo-content-predictions/,14.8,1467,21652,0.944,0.112
high,0462,https://obesitymedicine.org/blog/weight-loss-medications/,14.8,1718,25371,0.952,0.109
high,1185,https://www.kff.org/mental-health/recent-trends-in-mental-health-and-substance-use-concerns-among-adolescents/,14.8,1461,21569,0.964,0.139
high,0845,https://101blockchains.com/free-blockchain-course/,14.7,1065,15642,0.989,0.111
high,2676,https://jessicatalisman.substack.com/p/process-knowledge-management-part-63a,14.7,1947,28714,0.925,0.105
high,2400,https://www.raygervais.ca/articles/2025/11/utilizing_the_agentic_lifecycle_for_improved_generative_results,14.6,1301,19039,0.933,0.118
high,0633,https://www.innerbody.com/agency-skincare-reviews,14.5,2502,36269,0.942,0.113
high,2588,https://intezer.com/blog/tracing-a-paper-werewolf-campaign-through-ai-generated-decoys-and-excel-xlls,14.1,1226,17307,0.859,0.121
high,1776,https://www.emailvendorselection.com/best-online-course-platforms/,13.9,2899,40174,0.975,0.137
high,1002,https://www.blog.udonis.co/mobile-marketing/mobile-games/top-gaming-companies,13.7,2600,35499,0.834,0.115
high,1482,http://docs.mcneel.com/rhino/6/usersguide/en-us/html/ch-15_headphones.htm,13.7,979,13365,0.776,0.152
high,1933,https://amfmtreatment.com/cost/outpatient/,13.7,1418,19476,0.986,0.177
high,0932,https://www.empower.com/the-currency/life/what-are-taxes,13.6,1501,20344,0.926,0.135
high,0423,https://www.freightwaves.com/checkpoint/movers/new-york/,13.5,1596,21497,0.897,0.116
high,2038,https://forefrontweb.com/digital-marketing-service-charges/,13.4,1850,24866,0.882,0.111
high,2362,https://www.blogarama.com/arts-and-entertainment-blogs/1392101-great-onpage-seo-for-2022-ideas-you-can-practice-blog/71487059-powered-artificial-intelligence-transforming-search-marketing-2025,13.4,2332,31171,0.957,0.145
high,0278,https://www.engadget.com/entertainment/streaming/best-live-tv-streaming-service-133000410.html,13.2,4273,56219,0.904,0.148
high,0668,https://www.byrdie.com/best-clothing-rental-services-11755449,13.0,1159,15110,0.916,0.134
high,1712,https://www.softswiss.com/knowledge-base/choosing-optimal-mix-game-vendors-online-casino/,13.0,1766,23002,0.904,0.108
high,0110,https://www.greenhousestudio.co/home-garden/how-to-design-room,12.9,2285,29367,0.868,0.121
high,1095,https://www.tierpoint.com/blog/cloud-computing-innovation/,12.9,1429,18442,0.829,0.1
high,1689,https://www.intelivita.com/blog/mobile-app/,12.9,2987,38674,0.98,0.136
high,2072,https://upgradedpoints.com/travel/car-rentals/best-car-rental-companies/,12.9,1651,21366,0.902,0.136
high,2316,https://extendedstudies.ucsd.edu/certificates/project-management,12.9,1701,21968,0.832,0.11
high,0230,https://www.theverge.com/21420196/best-budget-smartphone-cheap,12.8,995,12709,0.8,0.111
high,1405,https://www.nerdfitness.com/blog/how-to-build-your-own-workout-routine/,12.8,3538,45191,0.944,0.155
high,1413,https://hr.university/hr-services/hr-consulting/hr-consulting-firms/,12.8,1915,24496,0.798,0.134
high,2037,https://marketingsherpa.com/article/chart/digital-marketing-pricing,12.8,786,10028,0.795,0.084
high,2480,https://www.maximevidal.com/ai-sound-house,12.8,4932,63072,0.933,0.131
high,2390,https://freederia.com/hyper-local-regolith-binding-agent-optimization-via-multi-modal-data-fusion-and-bayesian-reinforcement-learning-for-martian-concrete-construction-rbc-mrcc,12.6,1775,22336,0.912,0.106
high,0210,https://www.decorilla.com/online-decorating/interior-design-styles-101/,12.4,2246,27875,0.971,0.132
high,1144,https://www.fullstack.com/labs/resources/blog/software-development-price-guide-hourly-rate-comparison,12.4,1703,21158,0.91,0.127
high,0627,https://www.craft-music.com/resources/articles/beginners-guide-to-starting-music-lessons/,12.3,1558,19194,0.797,0.127
high,2171,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,12.3,2160,26572,0.888,0.139
high,0034,https://www.oracle.com/cloud/what-is-cloud-computing/,12.2,2276,27713,0.935,0.149
high,0665,https://www.krioda.com/language-learning-apps-compared/,12.2,3458,42269,0.973,0.179
high,1544,https://www.verywellfit.com/essential-yoga-poses-for-beginners-3566747,12.2,1482,18025,0.924,0.144
high,0814,https://www.shopify.com/blog/ecommerce-accounting,12.1,1750,21136,0.929,0.118
high,1343,https://www.thegoodtrade.com/features/natural-and-organic-skincare-brands/,12.0,1812,21763,0.867,0.12
high,1848,https://blog.turbotax.intuit.com/tax-planning-2/guide-filing-taxes-2024-tax-law-changes-61904/,12.0,1389,16678,0.933,0.14
high,2616,https://www.richsnapp.com/article/2025/12-14-git-worktrees-tmux-claude-code-oh-my-zsh,11.9,1627,19298,0.806,0.129
high,0672,https://sproutsocial.com/insights/social-media-ecommerce/,11.8,2318,27282,0.941,0.125
high,0136,https://appinventiv.com/blog/machine-learning-in-ecommerce/,11.7,2240,26299,0.845,0.133
high,2471,https://www.theartsdesk.com/new-music/theartsdesk-vinyl-93-led-zeppelin-blawan-sylvester-zaho-de-sagazan-sabres-paradise-hot-chip-and,11.7,4473,52339,0.908,0.119
high,0622,https://www.peoplekeep.com/blog/top-25-health-insurance-companies-in-the-u.s,11.6,1355,15683,0.967,0.143
high,2553,https://words.filippo.io/keyserver-tlog,11.5,2961,34164,0.978,0.164
high,0821,https://www.squarespace.com/blog/seo-trends,11.4,1224,14003,0.924,0.135
high,0832,https://www.getjobber.com/academy/cleaning/cleaning-industry-trends/,11.3,1323,14894,0.891,0.136
high,2615,https://dev.37signals.com/the-rails-delegated-type-pattern,11.2,5535,61923,0.972,0.209
high,0295,https://www.finehomesandliving.com/luxury_homes/5-lessons-we-learned-starting-a-moving-company-in-nyc-the-hard-way/article_f13d0203-afa5-495d-96f8-cda672240991.html,11.1,670,7426,0.976,0.136
high,1396,https://marketerhire.com/blog/best-social-media-marketing-agency,11.1,2297,25436,0.836,0.134
high,2301,https://monday.com/blog/project-management/guide-to-project-management/,11.1,3183,35364,0.835,0.137
high,2306,https://www.casebasix.com/pages/insurance-professional-vs-mbb-consultant,11.1,2555,28238,0.892,0.147
high,2361,https://russellmiller2.substack.com/p/vibe-coding-is-creating-a-generation,11.1,1130,12575,0.93,0.139
high,2603,https://www.alicemaz.com/writing/program.html,11.1,6418,71237,0.991,0.16
high,1039,https://thesocialshepherd.com/blog/top-social-media-agencies-us,10.9,1526,16605,0.952,0.14
high,1611,https://www.goldsgym.com/blog/beginner-gym-workout-for-strength-training/,10.9,1084,11796,0.78,0.121
high,2580,https://discoverbsd.com/p/ccc8db802c,10.9,859,9364,0.789,0.102
high,2434,https://gardenwith.me/articles/mastering-clematis-pruning-a-group-by-group-guide-to-abundant-blooms-all-season,10.8,2807,30317,0.973,0.219
high,2382,https://dgerrells.com/blog/how-to-make-a-game-engine,10.7,6414,68370,0.938,0.161
high,2820,https://www.securityinfowatch.com/security-executives/article/55332123/strategist-or-futurist-the-crossroads-defining-physical-securitys-next-era,10.7,2340,25040,0.942,0.147
high,0495,https://www.servicetitan.com/blog/best-electrician-tools,10.6,1272,13541,0.825,0.117
high,1966,https://www.cloudwards.net/cheap-project-management-software/,10.5,2516,26437,0.868,0.188
high,2510,https://codeberg.org/Swindlers-Inc/sqlitez,10.5,1224,12845,0.831,0.148
high,2578,https://pierce.dev/notes/go-ahead-self-host-postgres,10.5,1016,10682,0.984,0.142
high,2602,https://www.osso.nl/blog/2025/recap2025,10.5,1701,17810,0.762,0.111
high,0399,https://www.veranda.com/luxury-lifestyle/entertaining/a65105606/hosting-trends-2025/,10.3,1841,19047,0.816,0.123
high,1181,https://www.bowo.fr/en/blog/the-worlds-top-10-hotel-groups-in-2020,10.3,1542,15831,0.994,0.148
high,2236,https://technologyadvice.com/blog/marketing/best-digital-marketing-agencies-for-small-businesses/,10.3,2934,30154,0.982,0.167
high,0786,https://www.shillingtoneducation.com/graphic-design-course,10.2,785,8040,0.793,0.119
high,0961,https://glossgenius.com/blog/how-much-to-charge-for-yoga-class,10.2,2198,22371,0.95,0.295
high,1272,https://www.websitebuilderexpert.com/website-builders/cheap/,10.2,3328,33826,0.945,0.197
high,2543,https://www.hackster.io/wstanislaus/vivado-led-control-via-pynq-on-kr260-e391cf,10.2,1406,14409,0.848,0.163
high,2595,https://blog.ellipticc.com/posts/cryptography-explained-simply-the-concepts-that-actually-matter,10.2,1405,14357,0.735,0.112
medium,0747,https://www.fullmindlearning.com/blog/best-tutoring-websites,10.0,2400,24037,0.953,0.194
medium,0979,https://makeitright.ca/holmes-advice/home-renovation/your-guide-to-renovating-it-right-room-by-room/,10.0,2649,26392,0.955,0.183
medium,1837,https://sfist.com/san-francisco-moving-companies-movers/,10.0,2774,27811,0.96,0.161
medium,0026,https://utswmed.org/conditions-treatments/skincare-services/,9.9,2011,19839,0.855,0.136
medium,0620,https://www.venteur.com/blog/top-health-insurance-companies-in-united-states,9.9,1736,17158,0.822,0.145
medium,2299,https://www.hostinger.com/tutorials/web-design-trends,9.9,2109,20797,0.948,0.168
medium,0289,https://fitnesstrainer.com/blog/best-personal-trainer-certifications/,9.8,1866,18272,0.893,0.2
medium,1673,https://support.apple.com/en-us/106340,9.8,1126,11002,0.823,0.155
medium,0890,https://study.com/resources/online-tutoring-guide,9.7,2118,20489,0.921,0.193
medium,1441,https://uxcam.com/blog/mobile-ux/,9.7,2360,22994,0.915,0.167
medium,0981,https://agencyanalytics.com/blog/seo-tutorials,9.6,1564,14972,0.933,0.16
medium,1346,https://www.podium.com/article/plumbing-industry-trends,9.6,1858,17803,0.829,0.248
medium,2408,https://devcenter.upsun.com/posts/civicrm-drupal-11-on-upsun,9.6,1194,11494,0.838,0.137
medium,2475,https://bassmusicianmagazine.com/2025/12/new-album-hearty-breakfast-sensible-dinner,9.6,1437,13848,0.717,0.103
medium,2577,http://miod.online.fr/software/openbsd/stories/boot_hppa.html,9.6,2648,25443,0.949,0.17
medium,1476,https://www.bokun.io/how-to-create-tour-packages,9.5,3028,28741,0.846,0.151
medium,2477,https://artlyst.com/reviews/critics-choice-best-uk-art-exhibitions-2025-artlyst,9.5,2569,24516,0.842,0.116
medium,0916,https://westbelldentalcare.com/best-oral-hygiene-products/,9.4,2071,19529,0.918,0.166
medium,1311,https://www.almanac.com/vegetable-gardening-for-beginners,9.4,1133,10595,0.825,0.134
medium,1671,https://www.studiobinder.com/blog/types-of-cameras/,9.4,995,9329,0.794,0.133
medium,1813,https://versustexas.com/personal-injury/workout-machine-injuries/,9.4,2306,21583,0.889,0.201
medium,2568,https://macvfx.blog/2025/12/19/community-projects-part-2,9.4,2036,19129,0.83,0.133
medium,1839,https://teaspoonofadventure.com/packing-and-moving-tips/,9.3,2741,25547,0.944,0.205
medium,2789,https://accessibleai.dev/post/writingaireadydotnetcode,9.3,3135,29199,0.965,0.187
medium,0170,https://www.vfairs.com/guides/how-to-plan-an-event/,9.2,6212,57272,0.933,0.222
medium,1250,https://binariks.com/blog/emerging-blockchain-technology-trends/,9.1,2131,19429,0.873,0.159
medium,1516,https://brighterly.com/blog/best-online-tutoring-platforms/,9.1,2176,19793,0.812,0.173
medium,2347,https://huggingface.co/google/functiongemma-270m-it,9.1,1857,16871,0.89,0.151
medium,0518,https://guidetoiceland.is/best-of-iceland/joining-tours-or-renting-a-car-in-iceland-which-one-should-you-choose,9.0,2195,19845,0.901,0.21
medium,1285,https://controller-academy.com/courses/entry-level-accountant-academy-cpe,9.0,2636,23819,0.86,0.283
medium,1362,https://www.uforocks.com/blog/why-cheap-seo-doesnt-work/,9.0,2062,18565,0.892,0.194
medium,2340,https://blog.rust-lang.org/2025/12/19/what-do-people-love-about-rust,9.0,2784,24938,0.977,0.189
medium,0494,https://fieldedge.com/blog/51-must-have-electrician-tools/,8.9,1686,15064,0.728,0.151
medium,0865,https://buildfire.com/mobile-app-development-companies-united-states/,8.9,1770,15680,0.954,0.181
medium,1817,https://www.forthepeople.com/blog/gym-injury-lawsuits-we-can-do-heavy-lifting/,8.9,1840,16437,0.918,0.171
medium,2161,https://www.rsi.edu/programs/electrical-applications/,8.9,1638,14563,0.864,0.153
medium,1546,https://www.aihr.com/blog/hr-trends/,8.8,3352,29350,0.962,0.196
medium,2833,https://rouxbot.com/p/mcp-code-mode,8.8,1402,12280,0.938,0.151
medium,2385,https://www.webpronews.com/ai-coding-agents-tested-gpt-5-excels-in-minesweeper-challenge,8.7,1029,8992,0.827,0.125
medium,2613,https://blog.codefarm.me/2025/12/18/raw-http-message-logging-for-net-httpclient,8.7,1749,15200,0.888,0.164
medium,0392,https://www.eventtia.com/en/the-ultimate-event-project-management-guide-everything-you-need-to-know/,8.6,2438,20990,0.863,0.158
medium,1013,https://www.6sigmacertificationonline.com/data-analytics-certification/,8.6,1253,10828,0.855,0.18
medium,1608,https://birdhousemarketing.com/not-all-social-media-platforms-are-created-equal/,8.6,1469,12661,0.796,0.139
medium,2064,https://www.infuy.com/blog/top-strategies-to-optimize-blockchain-performance-and-security/,8.6,2563,21974,0.904,0.18
medium,2179,https://www.women-on-the-road.com/organized-tours.html,8.6,1753,15158,0.947,0.175
medium,1359,https://www.yourcreativecontent.com/blog/cheapest-seo-tools,8.5,2205,18745,0.862,0.183
medium,1551,https://massive.io/workflow/video-post-production-review-process/,8.5,1587,13443,0.98,0.18
medium,1715,https://www.expertmarketresearch.com/blogs/top-gaming-console-companies,8.5,2628,22273,1.0,0.19
medium,2304,https://www.casact.org/newsletter-article/candidate-experience-consulting-firm-vs-insurance-carrier,8.5,767,6546,0.759,0.129
medium,2521,https://blog.trailofbits.com/2025/12/19/can-chatbots-craft-correct-code,8.5,2003,16958,0.91,0.167
medium,2566,https://design.google/library/google-sans-flex-font,8.5,1556,13293,0.903,0.138
medium,1050,https://www.allure.com/story/best-of-beauty-skin-care-product-winners-2025,8.4,5803,48624,0.99,0.205
medium,1811,https://www.onixnet.com/blog/best-practices-strategies-for-gaming-companies-to-boost-their-business-performance/,8.4,1684,14070,0.892,0.183
medium,2012,https://www.nccer.org/craft-catalog/plumbing/,8.4,2230,18729,0.82,0.153
medium,0716,https://www.proserveit.com/blog/introduction-to-data-analysis,8.3,2275,18855,0.928,0.173
medium,1725,https://emizentech.com/blog/app-ideas-for-beginners.html,8.2,3037,24824,0.95,0.198
medium,1786,https://improvado.io/blog/ecommerce-analytics,8.2,2474,20187,0.964,0.191
medium,1219,https://jellyfish.co/blog/best-developer-experience-tools/,8.1,2894,23476,0.856,0.172
medium,1747,https://beinsure.com/ranking/largest-us-property-casualty-insurance-companies/,8.1,1825,14763,0.906,0.145
medium,2381,https://blog.scholasticahq.com/post/index-types-for-academic-journal,8.1,3169,25805,0.93,0.214
medium,2504,https://ericdaigle.ca/posts/super-secure-maga-messaging-app-leaks-everyones-phone-number,8.1,2498,20212,0.933,0.184
medium,0505,https://budgettravelwithgabby.com/budget-travelers-guide-to-travel-insurance/,8.0,2142,17198,0.967,0.215
medium,1943,https://www.stitchdata.com/resources/data-analysis-tools/,8.0,1780,14290,0.844,0.217
medium,2278,https://www.blockrenovation.com/guides/understanding-renovation-phases-and-timelines-from-planning-to-construction,8.0,1502,12008,0.771,0.173
medium,2722,https://smarterarticles.co.uk/ai-trains-on-your-art-three-models-that-could-pay-you-back,8.0,4155,33301,0.938,0.193
medium,0753,https://www.housecallpro.com/resources/marketing/how-to/how-to-price-plumbing-jobs/,7.9,1750,13746,0.799,0.163
medium,1176,https://www.esfi.org/understanding-your-home-electrical-system/,7.8,1796,14053,0.994,0.215
medium,2070,https://www.dreambigtravelfarblog.com/blog/best-car-rentals-usa,7.8,2272,17698,0.899,0.227
medium,0439,https://wellrive.com/blog/the-ultimate-guide-to-booking-a-moving-company-what-you-need-to-know/,7.7,1186,9119,0.971,0.219
medium,1154,https://www.skincare.com/expert-advice/ask-the-expert/a-beginners-guide-to-starting-a-skin-care-routine,7.7,1342,10333,0.792,0.166
medium,1835,https://www.getbellhops.com/ca/san-francisco/movers/,7.7,1353,10437,0.734,0.158
medium,2542,https://www.quantamagazine.org/the-year-in-mathematics-20251218,7.7,1321,10195,0.763,0.144
medium,1278,https://teaching.resources.osu.edu/teaching-topics/teaching-online-effective-practices,7.6,1778,13509,0.815,0.171
medium,2387,https://www.mindprison.cc/p/ai-vibe-coding-is-it-working-no,7.6,1016,7730,0.717,0.146
medium,0397,https://swoogo.events/blog/event-planning-skills/,7.5,1624,12212,0.877,0.162
medium,0590,https://5bridgeshealthandfitness.com/blog/ultimate-guide-to-gym-equipment/,7.5,2079,15562,0.788,0.18
medium,1545,https://www.onepeloton.com/blog/yoga-for-beginners,7.5,2771,20774,0.745,0.184
medium,1653,https://silenceactivations.com/silent-disco/fl/west-palm-beach/,7.5,1520,11450,0.863,0.24
medium,2349,https://odishanewsinsight.com/google-algorithm-insights,7.5,959,7184,0.924,0.154
medium,2786,https://musings.seahax.com/go-learnings,7.5,2608,19481,0.933,0.212
medium,0092,https://greatbigphotographyworld.com/photography-trends/,7.4,3385,24900,0.953,0.203
medium,0504,https://www.ricksteves.com/travel-tips/trip-planning/travel-insurance,7.4,2576,19138,0.963,0.223
medium,0675,https://camphouse.io/blog/social-shopping,7.4,2182,16188,0.926,0.224
medium,0935,https://www.adha.org/newsroom/,7.4,2345,17256,0.831,0.18
medium,1288,https://bookkeepers.com/accounting-basics-guide/,7.4,1662,12339,0.795,0.179
medium,2223,https://www.siteline.com/blog/top-electrical-construction-companies,7.4,1883,13900,0.806,0.166
medium,2249,https://online.jwu.edu/blog/what-is-event-management/,7.4,1607,11917,0.897,0.201
medium,2607,https://ptreview.sublinear.info/2025/12/news-for-november-2025,7.4,2825,20931,0.944,0.206
medium,2668,https://mises.org/friday-philosophy/nagel-reason,7.4,985,7276,0.905,0.177
medium,0257,https://newsproduct.org/news-product-management-certification,7.3,1531,11222,0.92,0.197
medium,0311,https://hevycoach.com/fitness-trends/,7.3,2680,19627,0.974,0.217
medium,0071,https://talkreal.org/en/blog/best-language-learning-app/,7.2,2365,17008,0.939,0.208
medium,0102,https://www.itsalltriptome.com/how-to-book-a-flight-for-beginners/,7.2,2162,15495,0.865,0.224
medium,0232,https://www.simplilearn.com/tutorials/cyber-security-tutorial/cyber-security-for-beginners,7.2,2204,15955,0.756,0.163
medium,0391,https://lesroches.edu/blog/event-planning/,7.2,2080,15073,0.728,0.143
medium,0452,https://www.hireahelper.com/movers/jackson_nj/,7.2,2592,18608,0.936,0.209
medium,0460,https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/fdas-concerns-unapproved-glp-1-drugs-used-weight-loss,7.2,1301,9409,0.862,0.227
medium,2513,https://thp.io/2021/py3-bytes-unicode.html,7.2,2154,15600,0.93,0.194
medium,2525,https://www.howtogeek.com/homelab-projects-to-try-this-weekend-december-19-21,7.2,712,5093,0.889,0.191
medium,0072,https://www.taalhammer.com/the-most-affordable-language-learning-apps-that-are-actually-worth-it-taalhammer-vs-duolingo-and-5-more/,7.1,2181,15485,0.905,0.233
medium,0510,https://nutritionsource.hsph.harvard.edu/healthy-eating-plate/,7.1,1571,11172,0.97,0.203
medium,2017,https://yoast.com/what-is-seo/,7.1,2433,17269,0.799,0.207
medium,2290,https://www.wellmeright.com/glossary/fitness-exercise-training,7.1,1496,10683,0.964,0.201
medium,2571,https://blog.codingconfessions.com/p/how-pytorch-generates-random-numbers,7.1,3545,25293,0.899,0.195
medium,0217,https://juliarosspt.com/college-admissions-packages/,7.0,1550,10860,0.871,0.232
medium,1846,https://foundfitpt.com/studios/fairfax-va/,7.0,855,6026,0.832,0.183
